text_norm,sarcasm
د محمودالعلايليارى ان الفريق احمدشفيق رقم مهم في المعادله السياسيه المصريه ولا يمكن اغفالههل ترى ان هذا صحيح؟اربعهزائدواحد,False
مع فيدرر يا اجا والكبار,False
الداعون لمبدا الاختلاط بين الجنسين؛ كالداعين لالغاء التسعيره كلاهما يريد تصفيه السوق السوداء بجعلها حره الاختلاط,True
مساكين من الصبح و هوما رايحين راجعين عاى غوغل تعبت بدالهم ههههه ي,True
قل شرق حلب ولا تقل حلب الشرقيه وقل غرب حلب ولا تقل حلب الغربيه فحلب موحده ويريدونها منقسمه حلبتنتصر,False
طبيب المقاصه اصابه احمدالشيخ بسيطه تحتاج للراحه فقط,False
مرسي مش هنام اكتر من اربع ساعات في اليوم لو نمت دقيقه كمان زياده هديك علي دماغك,True
انتخبواالبرص مشكله,True
هاشتاق العرب فيديو اهالي القدس يرفعون الاذان فوق اسطح منازلهم تحديا لقانون سلطه,False
محافظ العاصمه تفقد سير العمليه الانتخابيه في عدد من لجان الاقتراع تفقد محافظ العاصمه الشيخ طلال الخالد الاحمد الصباح، عددا من مقار اللجان الانتخابيه في بعض مناطق المحافظه، وذلك لمتابعه سير عمليه الاقتراع,False
الاتجاه اوباما يصل الى اسرائيل للمشاركه بدفن بيريس الاتجاه برس وكالاتوصل الرئيس الامريكي باراك اوباما وز,False
والله ما عليش مايمدي ايفون سبع يا حبيبي,False
اف هذا,False
ريال مدريد كلوب اميركا، نصف النهائيالساعه ١٣٠ الظهر هلا مدريييد ولاشيئ اخر,False
وقت الشده في ظنتي الجيش المصري حيوقف مع السعوديه ماراح يتبعو سيسي ولا غيروا عشان كذا لعاد يوزعو فلوس خلاص كفايه,True
عمليات الانبار تحرر جزيره هيت بالكامل من مجرمي داعش اذاعه البيان,False
القطريين اختتطفو لانهم من الاسره الحاكمه وليس لانهم سنه لغرظ مساومتهم في اسراهم في سوريا من حزب الله والله يفك اسرا,False
انت لسه مبقتش من شركاء اوبر الفرصه لسه فاديك و ب خطوات بس هتجيب فيش وتشبيه موجه لشركه اوبر,False
مفحوص مفعوص من حماه المحتله ترك حماه وحلب والساحل النصيري وذهب يشتغل كلب عند الناتو لجهنم وبئس المصير درعالفرات,True
عاجل عرسال عاصفه ثلجيه تهدد حياه الالاف النازحين السوريين في منطقه عرسال ماسهالثورهالسوريه,False
لوكانبخاطري نفسي اطلع لعمل تطوعي لمساعده النازحين السوريين,False
انا اشفق على هيلاري كلنتون فهي مضطره لمناظره خبل نص كلامه مو مفهوم,True
